TITLE,SECTION,SUB,CLS,CAT,DEG,FULL LAW DESCRIPTION,UCR DESCRIPTION,UCR CODE,IBR CODE
ABC,106,06,A,M,0,On Premises Gambling Violation,Liquor Law Violations,44,90G
ABC,106,07,A,M,0,On Premises:Unauthorized Sign,Liquor Law Violations,44,90G
ABC,106,08,A,M,0,Club Sale To Non-Member/Guest,Liquor Law Violations,44,90G
ABC,106,09,A,M,0,On Premises License Structure Violation,Liquor Law Violations,44,90G
ABC,106,10,A,M,0,On Premises:Vessel License Violation,Liquor Law Violations,44,90G
ABC,106,11,A,M,0,On Premises:Rail/Air License Violation,Liquor Law Violations,44,90G
ABC,106,12,A,M,0,On Premises Record Keeping Violation,Liquor Law Violations,44,90G
ABC,106,13,A,M,0,On Premises:Wholesaler Interest Violation,Liquor Law Violations,44,90G
ABC,106,14,A,M,0,On Premises:Loan To Manufacture/Wholesaler,Liquor Law Violations,44,90G
ABC,106,15,A,M,0,On Premises:Failure To Allow Inspection,Liquor Law Violations,44,90G
ABC,130,01,U,M,0,Manufacture/Sell Alcohol Beverage Without License,Liquor Law Violations,44,90G
ABC,130,01A,U,M,0,Sell Alcohol Beverage While License Suspend,Liquor Law Violations,44,90G
ABC,130,02,U,M,0,False Statement On License/Permit Application,Liquor Law Violations,44,90G
ABC,151,,A,M,0,Possession Illicit Alcohol Beverage,Liquor Law Violations,44,90G
ABC,152,,A,M,0,Sale Illicit Alcohol Beverage-1st Offense,Liquor Law Violations,44,90G
ABC,152,,E,F,0,Sale Illicit Alcohol Beverage-2nd Offense,Liquor Law Violations,44,90G
ABC,153,,E,F,0,Manufacture Illicit Alcohol Beverage,Liquor Law Violations,44,90G
ABC,154,,A,M,0,Use Premises to Manufacture/Etc Illicit Alcoholic Beverage-1st Offense,Liquor Law Violations,44,90G
ABC,154,,E,F,0,Use Premises to Manufacture/Etc Illicit Alcoholic Beverage-Prior Conv,Liquor Law Violations,44,90G
AM,096-Z-09,,E,F,0,Criminal Processing Inedible Meat,All Other Offenses (Except Traffic),43,90Z
AM,096-Z-10,,E,F,0,Criminal Sale Inedible Meat,All Other Offenses (Except Traffic),43,90Z
AM,096-Z-11,,E,F,0,Criminal Transportation Of Inedible Meat,All Other Offenses (Except Traffic),43,90Z
AM,351,2A,E,F,0,"For Amusement Or Gain, Causes Any Animal To Engage In Animal Fighting",All Other Offenses (Except Traffic),43,720
AM,351,2B,E,F,0,Trains Animal With Intent That It Will Engage In Animal Fighting,All Other Offenses (Except Traffic),43,720
AM,351,2C,E,F,0,Breed Or Sell An Animal With Intent That It Engage In Animal Fighting,All Other Offenses (Except Traffic),43,720
AM,351,2D,E,F,0,Permit Animal Fighting/Training To Fight On One's Premises,All Other Offenses (Except Traffic),43,720
AM,351,2E,E,F,0,Keep Animal Trained To Fight On Premises Where Fighting Is Conducted,All Other Offenses (Except Traffic),43,720
AM,353B,,,V,0,Appropriate Shelter For Dogs Left Outdoors,All Other Offenses (Except Traffic),43,720
AM,353D,,,V,0,Confinement Of Companion Animal In Vehicle: Extreme Temperatures,All Other Offenses (Except Traffic),43,720
AM,353-F,,,V,0,Companion Animal Piercing and Tattooing Prohibited,All Other Offenses (Except Traffic),43,720
AM,359A,,,V,0,Transportation Of Horses - First Offense,All Other Offenses (Except Traffic),43,720
AM,359A,,U,M,0,Transportation Of Horses - Second Or Subsequent Offense,All Other Offenses (Except Traffic),43,720
AM,360,,E,F,0,Poisoning Animals,All Other Offenses (Except Traffic),43,720
AM,361,,E,F,0,Interference With Certain Animal,All Other Offenses (Except Traffic),43,90Z
AM,366,,U,M,0,Companion Animal Stealing,All Other Offenses (Except Traffic),43,720
AM,367,,E,F,0,Avoiding Art 26 Provisions,All Other Offenses (Except Traffic),43,90Z
BL,0650,01,U,M,0,Fail To Permit Lawful Investigation,All Other Offenses (Except Traffic),43,90Z
BL,0650,02A1,A,M,0,Receives Money For Transmission Or Transmits Money Without A License,All Other Offenses (Except Traffic),43,90Z
BL,0650,02A2,A,M,0,Sells Or Issues NY Instruments/Traveler Checks Without A License,All Other Offenses (Except Traffic),43,90Z
BL,0650,02B1,E,F,0,Receive Money For Transmission W/o A License- Specified Dollar Amounts,All Other Offenses (Except Traffic),43,90Z
BL,0650,02B2,E,F,0,Sell Or Issue NY Instruments/Travel Chks W/o License-Specified Amounts,All Other Offenses (Except Traffic),43,90Z
BL,0650,02B3,E,F,0,Receive Money For Transmission W/o Lic- Proceeds Of Criminal Conduct,All Other Offenses (Except Traffic),43,90Z
BL,0650,02B4,E,F,0,Sell/Issue NY Instrmnts/Travel Ck W/o Lic-Proceeds Of Criminal Conduct,All Other Offenses (Except Traffic),43,90Z
BL,0663,,E,F,0,Rec Dep Over 25 From Insol Bnk,All Other Offenses (Except Traffic),43,90Z
BL,0672,,E,F,0,False Book/Report/Statements,All Other Offenses (Except Traffic),43,90Z
BL,0672,01,E,F,0,Corporation Bank False Report To Deceive,All Other Offenses (Except Traffic),43,90Z
BL,0672,02,E,F,0,Priv Bank False Report To Deceive,All Other Offenses (Except Traffic),43,90Z
BL,0672,03,E,F,0,Willfully Omit True Statement,All Other Offenses (Except Traffic),43,90Z
BL,0673,,E,F,0,Priv/Corporation Bank Misuse Fund/Property,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,,D,F,0,Sex Offender Registry Violation- Prior Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,,E,F,0,Sex Offender Registry Violation- 1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,01A,D,F,0,Sex Offender Fail To Register Prior To Discharge/Release-Prior Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,01A,E,F,0,Sex Offender Fail To Register Prior To Discharge/Release- 1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,01B,D,F,0,Sex Offender Fail To Register At Time Of Sentencing- Prior Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,01B,E,F,0,Sex Offender Fail To Register At Time Of Sentencing- 1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02A,D,F,0,Sex Offender Fail To Mail Verification Form In 10 Days- Prior Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02A,E,F,0,Sex Offender Fail To Mail Verification Form In 10 Days- 1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02B,D,F,0,Sex Offender Fail To Sign Verification Form/Confirm Address- Prior Off,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02B,E,F,0,Sex Offender Fail To Sign Verification Form/Confirm Address-1st Offnse,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02B1,D,F,0,Sex Offender Fail Sign Verification Form/Confirm Employment-Prior Offn,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02B1,E,F,0,Sex Offender Fail To Sign Verif Form/Confirm Employment-1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02-B2,D,F,0,Level 3 Sex Offender Fail To Provide Photo-Prior Offense COR 168,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02-B2,E,F,0,Level 3 Sex Offender Fail To Provide Photo-1st Offense COR 168,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02-B3,D,F,0,Level 1 Or 2 Sex Offender Fail To Provide Photo- Prior Offense COR 168,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02-B3,E,F,0,Level 1 Or 2 Sex Offender Fail To Provide Photo-1st Offense COR 168,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02-C1,D,F,0,Sex Offender Fail To Appear To Have Photo Taken-Prior Offense COR 168,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,02-C1,E,F,0,Sex Offender Fail To Appear For Photo To Be Taken- 1st Offense COR 168,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,03,D,F,0,Level 3/Sex Predator Fail To Verify Address Every 90 Days-Prior Offnse,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,03,E,F,0,Level 3/Sex Predator Fail To Verify Address Every 90 Days-1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,04,D,F,0,Sex Offender Fail To Report Change Address/Status In 10 Days-Prior Off,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,04,E,F,0,Sex Offender Fail To Report Change Address/Status In 10 Days- 1st Off,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,06,D,F,0,Nonresident Sex Offender Fail To Register- Prior Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-F,06,E,F,0,Nonresident Sex Offender Fail To Register- 1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-G,02,E,F,0,Sex Offender On Parole/Probation Fail To Register In 10 Days-1st Offns,All Other Offenses (Except Traffic),43,90Z
COR,0168-H,03,D,F,0,Level 3 Sex Offender/Sexual Predator Fails to Verify - Prior Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-H,03,E,F,0,Level 3 Sex Offender or Sexual Predator Fails to Personally Verify,All Other Offenses (Except Traffic),43,90Z
COR,0168-K,01,D,F,0,Other Jurisd Sex Off Fails to Notify of NYS Residence - Prior Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-K,01,E,F,0,Other Jurisdiction Sex Offender Fails to Notify of NYS Residence,All Other Offenses (Except Traffic),43,90Z
COR,0168-T,,D,F,0,Violate Sex Offender Registry Requirement- 2nd Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-T,,E,F,0,Violate Sex Offender Registry Requirement-1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-U,,B,M,0,Unauthorized Release Of Information Required By Correction Law Art 6-C,All Other Offenses (Except Traffic),43,90Z
COR,0168-V,,A,M,0,Registered Sex Offender Work Retail Sales- Frozen Desserts-1st Offense,All Other Offenses (Except Traffic),43,90Z
COR,0168-V,,D,F,0,Registered Sex Offender Work Retail Sales- Frozen Desserts-2nd Offense,All Other Offenses (Except Traffic),43,90Z
CPL,410.40,,E,F,0,Violation Prob,All Other Offenses (Except Traffic),43,90Z
CPL,570.06,,,9,0,Fugitive From Justice - Out of State Crime,All Other Offenses (Except Traffic),43,90Z
CPL,570.08,,,9,0,Receive Extradition Demand From Another State,All Other Offenses (Except Traffic),43,90Z
CPL,570.12,,,9,0,Fugitive From Justice - In State Crime,All Other Offenses (Except Traffic),43,90Z
CPL,570.14,,,9,0,Extradition of Fugitive Who Left the Demanding State Involuntarily,All Other Offenses (Except Traffic),43,90Z
CR,81,,E,F,0,Unlawful Threat Of Legal Action,All Other Offenses (Except Traffic),43,90Z
CR,82,,E,F,0,Unlawful Causing Payment,All Other Offenses (Except Traffic),43,90Z
ECL,09-1105,,E,F,0,Willfully Sets Forest Fire,All Other Offenses (Except Traffic),43,90Z
ECL,09-1105,01,E,F,0,Willfully Sets Forest Fires,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,01A,U,M,0,Prohibited Use Or Possession Of A Silencer,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,01B,U,M,0,Prohibited Use Or Possession Of An Automatic Firearm,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,01C,U,M,0,Prohibited Use Or Possession Of An Auto-Loading Firearm,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,02,U,M,0,Possession Of A Loaded Firearm In Or On A Motor Vehicle,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,02B,U,M,0,Use Prohibited Light In Vehicle/In Possession Of Specified Weapons,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,03,,V,0,Discharge Firearm Restricted Area Pursuant To ECL 11-0321,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,04,U,M,0,Illegal Discharge Of Firearm/Long Bow,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,05A,U,M,0,Use Rifle To Hunt In Prohibited Area,All Other Offenses (Except Traffic),43,90Z
ECL,11-0931,05B,U,M,0,Possess Illegal Caliber Rifle In Prohibited Area During Deer Season,All Other Offenses (Except Traffic),43,90Z
ECL,15-0501,,,V,0,Disturbing Stream Bed Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0501,01,,V,0,Disturbing Stream Bed Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0501,01,U,M,0,Disturbing Stream Bed Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0503,,,V,0,Erecting Dam/Wharf Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0503,01,,V,0,Erecting Dam/Wharf Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0503,01,U,M,0,Erecting Dam/Wharf Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0505,,,V,0,Excavate/Fill Navigable Stream Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0505,01,,V,0,Excavate/Fill Navigable Stream Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,15-0505,01,U,M,0,Excavate/Fill Navigable Stream Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0501,,E,F,0,Violation Pollution Standards- Prev Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-0501,,U,M,0,Violation Pollution Standards-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-0503,,E,F,0,Pollute Marine District Waters-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-0503,,U,M,0,Pollute Marine Diststrict Waters-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-0503,01,E,F,0,Pollute Marine District Liquid Waste-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-0503,01,U,M,0,Pollute Marine District Liquid Waste-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-0503,02,E,F,0,Pollute Marine District Solid Waste-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-0503,02,U,M,0,Pollute Marine District Solid Waste-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-0505,,E,F,0,Failure To Obtain SPDES Permit-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-0505,,U,M,0,Failure To Obtain SPDES Permit-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-0507,,E,F,0,Modify Discharge Without Permit-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-0507,,U,M,0,Modify Discharge Without Permit-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-0511,,E,F,0,Discharge Waste In Violation Regulations-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-0511,,U,M,0,Discharge Waste In Violation Regulations-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,,A,M,0,SPDES Permit Violation,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,,C,F,0,SPDES Permit Violation,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,,E,F,0,SPDES Permit Violation,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01A,A,M,0,Discharge Waste Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01A,C,F,0,Discharge Waste Cause Personal Injury,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01A,E,F,0,Discharge Waste Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01B,A,M,0,Construct/Operate System Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01B,C,F,0,Construct/Operate System Cause Personal Injury,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01B,E,F,0,Construct/Operate System Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01C,A,M,0,Increase Discharge Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01C,C,F,0,Increase Discharge Cause Personal Injury,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,01C,E,F,0,Increase Discharge Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0701,03A,A,M,0,Failure Submit Nuc Safety Analysis,All Other Offenses (Except Traffic),43,90Z
ECL,17-0803,,A,M,0,Discharge Pollutants Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0803,,C,F,0,Discharge Pollutants Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0803,,E,F,0,Discharge Pollutants Without SPDES Permit,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,,A,M,0,Prohibited Discharges-Pollutants,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,,C,F,0,Prohibited Discharges-Pollutants,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,,E,F,0,Prohibited Discharges- Pollutants,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,01,A,M,0,Prohibited Discharge Of Chemical/Biological/Radioactive Waste,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,01,C,F,0,Prohibited Discharge Of Chemical/Biological/Radioactive Waste,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,01,E,F,0,Prohibited Discharge Of Chemical/Biological/Radioactive Waste,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,02,A,M,0,Prohibited Discharge-Impair Anchorage/Navigation,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,02,C,F,0,Prohibited Discharge-Impair Anchorage/Navigation,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,02,E,F,0,Prohibited Discharge-Impair Anchorage/Navigation,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,03,A,M,0,Discharge Prohibited By Federal Regulations,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,03,C,F,0,Discharge Prohibited By Federal Regulations,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,03,E,F,0,Discharge Prohibited By Federal Regulations,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,04,A,M,0,Discharge Prohibited By ECL Regulations,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,04,C,F,0,Discharge Prohibited By ECL Regulations,All Other Offenses (Except Traffic),43,90Z
ECL,17-0807,04,E,F,0,Discharge Prohibited By ECL Regulations,All Other Offenses (Except Traffic),43,90Z
ECL,17-0825,,A,M,0,Unlawful Discharge Industrial Waste,All Other Offenses (Except Traffic),43,90Z
ECL,17-0825,,C,F,0,Unlawful Discharge Industrial Waste,All Other Offenses (Except Traffic),43,90Z
ECL,17-0825,,E,F,0,Unlawful Discharge Industrial Waste,All Other Offenses (Except Traffic),43,90Z
ECL,17-0825,,U,M,0,Unlawful Discharge Industrial Waste-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-1009,,E,F,0,Registration Violation-Petroleum Storage-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-1009,,U,M,0,Registration Violation-Petroleum Storage-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-1009,02,E,F,0,Petroleum Storage Failure To Register-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-1009,02,U,M,0,Petroleum Storage Failure To Register-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-1009,03,E,F,0,Failure To Notify Alteration/Replacement Tank-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-1009,03,U,M,0,Failure To Notify Alteration/ReplacementTank-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-1011,,E,F,0,Petroleum Storage-Records Violation-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-1011,,U,M,0,Petroleum Storage Records Violation-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-1011,01,E,F,0,Failure To Provide Access To Records-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-1011,01,U,M,0,Failure To Provide Access To Records-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-1011,02,E,F,0,Failure To Provide Access To Facility-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,17-1011,02,U,M,0,Failure To Provide Access To Facility-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,17-1015,03,E,F,0,Illegal Construction/Operation Petroleum Storage Facility,All Other Offenses (Except Traffic),43,90Z
ECL,17-1015,03,U,M,0,Illegal Construction/Operation Petroleum Storage Facility,All Other Offenses (Except Traffic),43,90Z
ECL,17-1709,01,U,M,0,Sewage Discharge Into Lake George,All Other Offenses (Except Traffic),43,90Z
ECL,19-0304,,E,F,0,Violation Burn Hazardous Wastes-2nd Offense,All Other Offenses (Except Traffic),43,90Z
ECL,19-0304,,U,M,0,Violation Burn Hazardous Wastes-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0305,12,,V,0,Transport Regulated Medical Waste Without Permit,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,,E,F,0,Unspecd Manifest Violation-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,,U,M,0,Unspecified Manifest Violation-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,01,E,F,0,Hazardous Waste Improper Manifest Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,01,U,M,0,Hazardous Waste-Improper Manifest-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,02,E,F,0,Hazardous Waste False Cargo Manifest-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,02,U,M,0,Hazardous Waste False Cargo Manifest-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,03,E,F,0,Hazardous Waste Facilities Manifest Violation-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0905,03,U,M,0,Hazardous Waste Facilities Manifest Violation-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0909,06,E,F,0,Hazardous Waste Transport Standards Violation-Prior Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0909,06,U,M,0,Hazardous Waste Transport Standards Violation-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0913,,E,F,0,Process Hazardous Waste Without Permit-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0913,,U,M,0,Process Hazardous Waste Without Permit-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0913,01,E,F,0,Store/Transport/Dispose Hazardous Waste W/O Permit-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0913,01,U,M,0,Store/Transport/Dispose Hazardous Waste W/O Permit-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0913,02,E,F,0,Transport Hazardous Waste Without Permit-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0913,02,U,M,0,Transport Hazardous Waste Without Permit-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,,E,F,0,Unauthorized Hazardous Waste Transaction-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,,U,M,0,Unauthorized Hazardous Waste Transaction-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,01,E,F,0,Unauthorized Possession Hazardous Waste-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,01,U,M,0,Unauthorized Possession Hazardous Waste-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,02,E,F,0,Unauthorized Disposal Hazardous Waste-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,02,U,M,0,Unauthorized Disposal Hazardous Waste-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,03,E,F,0,Unauthorized Dealing Hazardous Waste Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0914,03,U,M,0,Unauthorized Dealing Hazardous Waste-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0915,,E,F,0,Refuse Access Records/Premises-Hazardous Waste,All Other Offenses (Except Traffic),43,90Z
ECL,27-0915,,U,M,0,Refuse Access Records/Premises-Hazardous Waste,All Other Offenses (Except Traffic),43,90Z
ECL,27-0922,,E,F,0,Prohibited Use Hazardous Waste Oil-Previous Conviction,All Other Offenses (Except Traffic),43,90Z
ECL,27-0922,,U,M,0,Prohibited Use Hazardous Waste Oil-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-0923,,E,F,0,Hazardous Waste Assessment Violation,All Other Offenses (Except Traffic),43,90Z
ECL,27-0923,,U,M,0,Hazardous Waste Assessment Violation,All Other Offenses (Except Traffic),43,90Z
ECL,27-1105,01,E,F,0,Operating A Hazardous Waste Facility w/o Certificate:Prior,All Other Offenses (Except Traffic),43,90Z
ECL,27-1105,01,U,M,0,Operating A Hazardous Waste Facility Without Certificate-1st Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-1309,01,E,F,0,Refuse Access To Records-Hazardous Waste,All Other Offenses (Except Traffic),43,90Z
ECL,27-1309,01,U,M,0,Refuse Access To Records-Hazardous Waste,All Other Offenses (Except Traffic),43,90Z
ECL,27-1505,,,V,0,Illegal Storage Medical Waste,All Other Offenses (Except Traffic),43,90Z
ECL,27-1505,,A,M,0,Illegal Storage Medical Waste-2nd Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-1505,,B,M,0,Illegal Storage Medical Waste,All Other Offenses (Except Traffic),43,90Z
ECL,27-1507,,A,M,0,Illegal Disposal Medical Waste-2nd Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-1507,,B,M,0,Illegal Disposal Medical Waste,All Other Offenses (Except Traffic),43,90Z
ECL,27-1509,,A,M,0,Illegal Transfer Medical Waste-2nd Offense,All Other Offenses (Except Traffic),43,90Z
ECL,27-1509,,B,M,0,Illegal Transfer Medical Waste,All Other Offenses (Except Traffic),43,90Z
