category_1,category_2,category_3,crime_type,ucr_code
Property,Theft,Unclassified,THEFT OF HEAVY EQUIPMENT,612
Property,Theft,Unclassified,THEFT OF TRAILER,613
Property,Theft,Unclassified,THEFT OF LICENSE PLATE,614
Property,Theft,Unclassified,THEFT OF TELECOMMUNICATION SRV,615
Property,Theft,Unclassified,TELECOMMUNICATION CRIMES/OTHER,616
Property,Theft,Unclassified,THEFT FROM BUILDING,617
Property,Theft,Unclassified,THEFT/TILL TAPPING,618
Property,Theft,Unclassified,THEFT OF METAL,619
Property,Theft,Unclassified,THEFT CATALYTIC CONVERTER,620
Property,Theft,Unclassified,RENTAL CAR/FAIL TO RETURN,621
Drug,Drug,Drug,POSS CONTROLLED SUB/SYN NARC,1801
Drug,Drug,Drug,POSS CONTROLLED SUB/OTHER,1802
Drug,Drug,Drug,POSSESSION OF MARIJUANA,1803
Drug,Drug,Drug,DEL CONTROLLED SUB/NARCOTIC,1804
Drug,Drug,Drug,DEL CONTROLLED SUB/SYN NARC,1805
Drug,Drug,Drug,DEL CONTROLLED SUB/OTHER,1806
Drug,Drug,Drug,DEL MARIJUANA,1807
Drug,Drug,Drug,OBTAIN CONTROLLED SUB BY FRAUD,1808
Drug,Drug,Drug,EXPIRED-ATT OBT CONT SUB FRAUD,1809
Drug,Drug,Drug,POSS DANG DRUG,1810
Drug,Drug,Drug,DEL OF DANG DRUG,1811
Drug,Drug,Drug,OBTAIN DANG DRUG BY FRAUD,1812
Drug,Drug,Drug,EXPIRED-ATT OB DANG DRUG FRAUD,1813
Drug,Drug,Drug,CONTROLLED SUB VIOL - OTHER,1814
Drug,Drug,Drug,DANG DRUG VIOL - OTHER,1815
Drug,Drug,Drug,POSS OF DRUG PARAPHERNALIA,1818
Drug,Drug,Drug,MANF CONTROLLED SUB- SYN NARC,1819
Drug,Drug,Drug,MANF CONTROLLED SUB - OTHER,1820
Drug,Drug,Drug,INHALANT ABUSE,1821
Drug,Drug,Drug,POSS OF PRESCRIPTION FORM,1822
Drug,Drug,Drug,DELIVERY OF PRESCRIPTION FORM,1823
Drug,Drug,Drug,NUISANCE ABATEMENT,1824
Drug,Drug,Drug,POSS SYNTHETIC MARIJUANA,1825
Drug,Drug,Drug,DEL SYNTHETIC MARIJUANA,1826
Drug,Drug,Drug,MANF SYNTHETIC MARIJUANA,1827
Drug,Drug,Drug,POSS CONTROLLED SUB/NARCOTIC,1800
Property,Arson,Arson,ARSON,800
Property,Arson,Arson,ATT ARSON,801
Property,Arson,Arson,CRIMINAL MISCHIEF BY ARSON,802
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS,2716
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS/TRANSIENT,2721
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS/HOTEL,2722
Property,Other Property Crime,Other Property Crime,CRIMINAL TRESPASS/IN VEHICLE,2727
Property,Other Property Crime,Other Property Crime,ILLEGAL LABELLING OF RECORDING,1011
Property,Other Property Crime,Other Property Crime,THEFT BY PUBLIC SERVANT,1202
Property,Other Property Crime,Other Property Crime,THEFT- APPROPRIATE STOLEN PROP,1300
Property,Other Property Crime,Other Property Crime,CRIMINAL MISCHIEF,1400
Property,Other Property Crime,Other Property Crime,RECKLESS DAMAGE,1401
Property,Other Property Crime,Other Property Crime,GRAFFITI,1402
Property,White Collar,Counterfeiting,COUNTERFEITING,1006
Property,White Collar,Counterfeiting,TRADEMARK COUNTERFEITING,1111
Property,White Collar,Fraud,FORGERY- CERTIFICATE OF TITLE,1008
Property,White Collar,Fraud,FORGERY AND PASSING,1000
Property,White Collar,Fraud,FORGERY BY ALTERATION,1001
Property,White Collar,Fraud,POSSESSION OF FORGED WRITING,1002
Property,White Collar,Fraud,FORGERY BY MAKING,1003
Property,White Collar,Fraud,FORGERY OF IDENTIFICATION,1004
Property,White Collar,Fraud,CRED CARD ABUSE BY FORGERY,1005
Property,White Collar,Fraud,FRAUD DESTRUCTION OF A WRITING,1007
Property,White Collar,Fraud,SECURING EXEC-DOC BY DECEPTION,1009
Property,White Collar,Fraud,FRAUD FILING FINANCE STATEMENT,1010
Property,White Collar,Fraud,FORGERY - OTHER,1099
Property,White Collar,Fraud,FRAUD - OTHER,1199
Property,White Collar,Fraud,FRAUD-CARD SKIMMER,1112
Property,White Collar,Fraud,ISSUANCE OF BAD CHECK,1100
Property,White Collar,Fraud,THEFT BY CHECK,1101
Property,White Collar,Fraud,CRED CARD ABUSE - EXPIR-CANCEL,1103
Property,White Collar,Fraud,BANK KITING,1104
Property,White Collar,Fraud,FALSE STATEMENT -OBTAIN CREDIT,1105
Property,White Collar,Fraud,CRED CARD ABUSE - OTHER,1106
Property,White Collar,Fraud,DEBIT CARD ABUSE,1108
Property,White Collar,Fraud,BREACH OF COMPUTER SECURITY,1109
Property,White Collar,Fraud,PIGEON DROP,1198
Property,White Collar,Fraud,MISAPPLY FIDUCIARY PROP,1201
Property,White Collar,Fraud,MONEY LAUNDERING,1301
Property,White Collar,Embezzlement,THEFT BY EMBEZZLEMENT,1200
Gambling,Gambling,Gambling,GAMBLING,1900
Gambling,Gambling,Gambling,GAMBLING PROMOTION,1901
Gambling,Gambling,Gambling,KEEPING GAMBLING PLACE,1902
Gambling,Gambling,Gambling,COMMUNICATING GAMBLING INFO,1903
Gambling,Gambling,Gambling,POSS OF GAMBLING EQUIPMENT,1904
Gambling,Gambling,Gambling,POSS OF GAMBLING PARAPHERNALIA,1905
Gambling,Gambling,Gambling,THEFT BY FALSE PRETEXT/BUNCO,1102
