category_1,category_2,category_3,offense_description
Property,Other Property Crime,Other Property Crime,"VANDALISM, CRIMINAL ATTEMPT"
Drug,Drug,Drug,COCAINE - POSSESS
Drug,Drug,Drug,Consp.-Cont.Sub.- Amphetamine 26-299 gr
Drug,Drug,Drug,Consp.-Cont.Sub.-Meth 26-299 gr
Drug,Drug,Drug,CONTRABAND IN PENAL INST.-INTOXICANT/CONTR. SUBSTANCE
Drug,Drug,Drug,CONTROLLED SUB. ANALOGUE - DELIVER - 1ST OFFENSE
Drug,Drug,Drug,CONTROLLED SUB. ANALOGUE - MANUFACTURE - 1ST OFFENSE
Drug,Drug,Drug,CONTROLLED SUB. ANALOGUE - POSS OR CASUAL EXCHANGE
Drug,Drug,Drug,CONTROLLED SUB. ANALOGUE - POSS W/INTENT - 1ST OFFENSE
Drug,Drug,Drug,CONTROLLED SUB. ANALOGUE - POSS W/INTENT - 2ND OFFENSE OR MORE
Drug,Drug,Drug,CONTROLLED SUBSTANCE - POSS. OR CASUAL EXCHANGE
Drug,Drug,Drug,Delivery - Cont.Sub.-Meth <.5 gr Deadly Weapon
Drug,Drug,Drug,Delivery -Cont.Sub.-Meth<.5 gr
Drug,Drug,Drug,Delivery-Cont.Sub.-Meth 26-299 gr
Drug,Drug,Drug,Delivery-Cont.Sub.-Meth 300 gr or >
Drug,Drug,Drug,POSS. OR CASUAL EXCHANGE OF HERIN-PRIOR CONVICTIONS
Drug,Drug,Drug,Poss. or Casual Exchange of Meth
Drug,Drug,Drug,Poss. or Casual Exchange of Meth - Prior Conviction
Drug,Drug,Drug,POSS. W/INT -CONT.SUB. -FENTANYL OR DERIVATIVE 150 GR OR >
Drug,Drug,Drug,POSS. W/INT-CONT.SUB. -FENTANYL OR DERIVATIVE 15-149 GR
Drug,Drug,Drug,POSS.W/INT-CONT.SUB.- COCAINE <.5 GR.
Drug,Drug,Drug,Poss.w/Int-Cont.Sub.- Meth 26-299 gr
Drug,Drug,Drug,POSS.W/INT-CONT.SUB.- SCH. I
Drug,Drug,Drug,Poss.w/Int-Cont.Sub.-Amphetamine 26-299 gr
Drug,Drug,Drug,Poss.w/Int-Cont.Sub.-Amphetamine 300gr or >
Drug,Drug,Drug,Poss.w/Int-Cont.Sub.-Meth <.5 gr
Drug,Drug,Drug,Poss.w/Int-Cont.Sub.-Meth <5 gr Deadly Weapon
Drug,Drug,Drug,Poss.w/Int-Cont.Sub.-Meth 300 gr or >
Drug,Drug,Drug,Poss.w/Int-Cont.Sub.-Meth.5 gr or more
Drug,Drug,Drug,"DISPENSE PRESCRIPTION DRUG, VOID REGIS. NUMBER"
Drug,Drug,Drug,Drug Free NonSch.Zone -Cont.Sub.-Meth 26-299 gr
Drug,Drug,Drug,Drug Free NonSch.Zone-Cont.Sub.-Meth.5 gr or more
Drug,Drug,Drug,DRUG FREE SCH.ZONE-CONT.SUB.-SCH. IV
Drug,Drug,Drug,"DRUG OFFENSE, CRIMINAL ATTEMPT (BECOMES DRUG OFFENSE)"
Drug,Drug,Drug,DRUG PARAPHERNALIA- ADVERTISING
Drug,Drug,Drug,DRUG PARAPHERNALIA- UNLAWFUL USE
Drug,Drug,Drug,DRUGS- DISPENSE ILLEGALLY
Drug,Drug,Drug,"DRUGS, COCAINE, POSSESS"
Drug,Drug,Drug,"DRUGS, COCAINE, SELL"
Drug,Drug,Drug,HEROIN
Drug,Drug,Drug,MANUF. -CONT.SUB. -FENTANYL OR DERIVATIVE 15-149 GR
Drug,Drug,Drug,MANUF.-CONT.SUB. - METH .5 GR or MORE
Drug,Drug,Drug,MANUF.-CONT.SUB. - METH <.5 GR
Drug,Drug,Drug,Manuf.-Cont.Sub.-Amphetamine 300 gr or >
Drug,Drug,Drug,MARIJUANA - POSSESS
Drug,Drug,Drug,MARIJUANA - SELL
Drug,Drug,Drug,MARIJUANA - SMUGGLE
Drug,Drug,Drug,MARIJUANA (FREE TEXT)
Drug,Drug,Drug,MARIJUANA CONCENTRATE-MANUFACTURE
Drug,Drug,Drug,POSSESSION OF A CONTROLLED SUB FOR RESALE
Drug,Drug,Drug,POSSESSION OF A CONTROLLED SUBSTANCE
Drug,Drug,Drug,SALE - CONT.SUB.-SCH. I
Drug,Drug,Drug,Sale -Cont.Sub.-Meth <.5 gr
Drug,Drug,Drug,Sale -Cont.Sub.-Meth.5 gr or more
Drug,Drug,Drug,Sale-Cont.Sub.-Amphetamine 26-299 gr
Drug,Drug,Drug,Sale-Cont.Sub.-Meth 26-299 gr
Drug,Drug,Drug,Sale-Cont.Sub.-Meth 300 gr or >
Drug,Drug,Drug,SYNTHETIC CANNABINOIDS VIOLATION - 1ST OFFENSE
Drug,Drug,Drug,AMPHETAMINE - POSSESS
Drug,Drug,Drug,AMPHETAMINE - SELL
Property,White Collar,Counterfeiting,"Counterfeit Log - Manuf. Items - $60,000 or > but < $250,000"
Property,White Collar,Counterfeiting,COUNTERFEITING
Property,White Collar,Counterfeiting,COUNTERFEITING OF-SEE MIS
Property,White Collar,Counterfeiting,POSSESS COUNTERFEITED-SEE MIS
Property,White Collar,Counterfeiting,IMITATION CONTROLLED SUBSTANCE - POSS W/INTENT
Property,White Collar,Counterfeiting,IMITATION CONTROLLED SUBSTANCE - SELL
Property,White Collar,Counterfeiting,IMITATION CONTROLLED SUBSTANCE - USE OR POSSESS
Property,White Collar,Counterfeiting,PASS COUNTERFEITED-SEE MIS
Property,White Collar,Counterfeiting,PASS FORGED-SEE MIS
Property,White Collar,Fraud,IDENTITY THEFT
Property,White Collar,Fraud,IDENTITY THEFT - POSSESSION- REENCODER OR SCANNING DEVICE
Property,White Collar,Fraud,IDENTITY THEFT - USE OF REENCODER OR SCANNING DEVICE
Property,White Collar,Fraud,CRIMINAL IMPERSONATION
Property,White Collar,Fraud,"Computer Violation, Damage - $250,000 or more"
Property,White Collar,Fraud,"Criminal Simulation- $250,000 or more"
Property,White Collar,Fraud,"Criminal Simulation- $60,000 or > but < $250,000"
Property,White Collar,Fraud,"Workers Compensation Fraud - $60,000 or > but < $250,000"
Property,White Collar,Fraud,"WORTHLESS CHECK- $10,000 OR > BUT < $60,000"
Property,White Collar,Fraud,WORTHLESS CHECK- $500 OR LESS
Property,White Collar,Fraud,WORTHLESS CHECK - ($10 - $99.99)
Property,White Collar,Fraud,WORTHLESS CHECK - ($100 - $299.99)
Property,White Collar,Fraud,"WORTHLESS CHECK- $1,000 OR > BUT < $10,000"
Property,White Collar,Fraud,"Worthless Check- $60,000 or > but < $250,000"
Property,White Collar,Fraud,"WORTHLESS CHECK- > $500 BUT < $1,000"
Property,White Collar,Fraud,WOTHLESS CHECK - ($300 - $500)
Property,White Collar,Fraud,"Computer Violation, Fraud - $250,000 or more"
Property,White Collar,Fraud,"CREDIT CARD, FRAUDULENT USE - $500 OR LESS"
Property,White Collar,Fraud,"CREDIT CARD, FRAUDULENT USE - $1,000 OR LESS"
Property,White Collar,Fraud,"Credit Card, Fraudulent Use - $250,000 or more"
Property,White Collar,Fraud,"Credit Card, Fraudulent Use - $60,000 or > but < $250,000"
Property,White Collar,Fraud,"CREDIT CARD, FRAUDULENT USE - >$1,000 BUT < $2,500"
Property,White Collar,Fraud,POSSESS FORGED-SEE MIS
Property,White Collar,Fraud,"FORGE/SIMULATE, CRIMINAL ATTEMPT"
Property,White Collar,Fraud,FORGERY
Property,White Collar,Fraud,"Forgery- $60,000 or > but < $250,000"
Property,White Collar,Fraud,FRAUD
Property,White Collar,Fraud,FRAUD - ILLEG USE OF CREDIT CARDS
Property,White Collar,Fraud,FRAUD - INSUFF FUNDS CHECK
Property,White Collar,Fraud,FRAUD - BREACH OF TRUST
Property,White Collar,Fraud,FRAUD - CONFIDENCE GAME
Property,White Collar,Fraud,FRAUD - SWINDLE
Property,White Collar,Fraud,FRAUD BY WIRE
Property,White Collar,Fraud,"FRAUD, CRIMINAL ATTEMPT"
Property,White Collar,Fraud,"Insurance - fraudulent act - $60,000 or > but < $250,000"
Property,White Collar,Embezzlement,EMBEZZLE - BANKING-TYPE-INST
Property,White Collar,Embezzlement,EMBEZZLE - BUSINESS PROP
Property,White Collar,Embezzlement,EMBEZZLEMENT
Property,White Collar,Embezzlement,"EMBEZZLEMENT, CRIMINAL ATTEMPT"
Gambling,Gambling,Gambling,GAMBLING
Gambling,Gambling,Gambling,GAMBLING DEVICE OR RECORD- POSSESSION
Gambling,Gambling,Gambling,GAMBLING PROMOTION
